coordinates,sentiment
"[[[-84.706797, 38.917578], [-84.706797, 39.060938], [-84.606098, 39.060938], [-84.606098, 38.917578]]]",neutral
"[[[-77.144435, 38.789907], [-77.144435, 38.844853], [-77.037304, 38.844853], [-77.037304, 38.789907]]]",positive
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",positive
"[[[-122.035311, 37.193164], [-122.035311, 37.469154], [-121.71215, 37.469154], [-121.71215, 37.193164]]]",negative
"[[[-84.576827, 33.647503], [-84.576827, 33.886886], [-84.289385, 33.886886], [-84.289385, 33.647503]]]",negative
"[[[-122.83262, 42.450963], [-122.83262, 42.487297], [-122.782306, 42.487297], [-122.782306, 42.450963]]]",positive
"[[[-90.67755, 38.700023], [-90.67755, 38.815652], [-90.523651, 38.815652], [-90.523651, 38.700023]]]",negative
"[[[-97.350366, 49.713679], [-97.350366, 49.993932], [-96.954987, 49.993932], [-96.954987, 49.713679]]]",neutral
"[[[-72.625573, 44.234872], [-72.625573, 44.312702], [-72.544556, 44.312702], [-72.544556, 44.234872]]]",positive
"[[[-118.517358, 33.995177], [-118.517358, 34.050199], [-118.443482, 34.050199], [-118.443482, 33.995177]]]",neutral
"[[[-80.095586, 40.361580000000004], [-80.095586, 40.501198], [-79.865793, 40.501198], [-79.865793, 40.361580000000004]]]",negative
"[[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]",positive
"[[[-77.144435, 38.789907], [-77.144435, 38.844853], [-77.037304, 38.844853], [-77.037304, 38.789907]]]",positive
"[[[-121.634158, 39.480922], [-121.634158, 39.525795], [-121.571241, 39.525795], [-121.571241, 39.480922]]]",positive
"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]",negative
"[[[-117.845301, 33.69418], [-117.845301, 33.773387], [-117.758969, 33.773387], [-117.758969, 33.69418]]]",negative
"[[[-80.095586, 40.361580000000004], [-80.095586, 40.501198], [-79.865793, 40.501198], [-79.865793, 40.361580000000004]]]",neutral
"[[[-79.487651, 37.886607], [-79.487651, 39.723622], [-74.986286, 39.723622], [-74.986286, 37.886607]]]",negative
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
"[[[-71.084335, 42.917127], [-71.084335, 47.459687], [-66.885075, 47.459687], [-66.885075, 42.917127]]]",negative
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",positive
"[[[-114.818269, 31.332246], [-114.818269, 37.004261], [-109.045153, 37.004261], [-109.045153, 31.332246]]]",positive
"[[[8.472715, 50.01552], [8.472715, 50.226951], [8.800496, 50.226951], [8.800496, 50.01552]]]",negative
"[[[-122.514926, 37.708075], [-122.514926, 37.833238], [-122.357031, 37.833238], [-122.357031, 37.708075]]]",positive
"[[[-93.329515, 44.889964], [-93.329515, 45.051257], [-93.194578, 45.051257], [-93.194578, 44.889964]]]",positive
"[[[-83.694776, 41.580375], [-83.694776, 41.732806], [-83.454566, 41.732806], [-83.454566, 41.580375]]]",positive
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",negative
"[[[-84.576827, 33.647503], [-84.576827, 33.886886], [-84.289385, 33.886886], [-84.289385, 33.647503]]]",neutral
"[[[-71.625705, 42.310982], [-71.625705, 42.380659], [-71.475702, 42.380659], [-71.475702, 42.310982]]]",positive
"[[[-90.418108, 41.696088], [-90.418108, 48.306272], [-82.122971, 48.306272], [-82.122971, 41.696088]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",negative
"[[[-88.067098, 43.030534], [-88.067098, 43.104541], [-87.983987, 43.104541], [-87.983987, 43.030534]]]",neutral
"[[[-97.538285, 32.569477], [-97.538285, 32.990456], [-97.033542, 32.990456], [-97.033542, 32.569477]]]",positive
"[[[-90.422363, 38.451192], [-90.422363, 38.547149], [-90.319711, 38.547149], [-90.319711, 38.451192]]]",neutral
"[[[-81.086454, 34.869151], [-81.086454, 34.961986], [-80.943098, 34.961986], [-80.943098, 34.869151]]]",positive
"[[[-96.065628, 35.968624], [-96.065628, 36.250159], [-95.761656, 36.250159], [-95.761656, 35.968624]]]",neutral
"[[[-90.310298, 34.982924], [-90.310298, 36.678119], [-81.646901, 36.678119], [-81.646901, 34.982924]]]",positive
"[[[-77.144435, 38.789907], [-77.144435, 38.844853], [-77.037304, 38.844853], [-77.037304, 38.789907]]]",positive
"[[[53.994347, 16.941793], [53.994347, 17.801337], [55.42039, 17.801337], [55.42039, 16.941793]]]",neutral
"[[[-105.180287, 39.889067], [-105.180287, 39.963057], [-105.136695, 39.963057], [-105.136695, 39.889067]]]",neutral
"[[[-95.679001, 30.23105], [-95.679001, 30.443978], [-95.397267, 30.443978], [-95.397267, 30.23105]]]",positive
"[[[-74.629172, 40.961853], [-74.629172, 40.997645], [-74.583012, 40.997645], [-74.583012, 40.961853]]]",negative
"[[[150.520929, -34.118347], [150.520929, -33.578141], [151.343021, -33.578141], [151.343021, -34.118347]]]",positive
"[[[-75.184048, 39.855355], [-75.184048, 39.884552], [-75.130236, 39.884552], [-75.130236, 39.855355]]]",positive
"[[[-121.70014, 37.088404], [-121.70014, 37.16931], [-121.583333, 37.16931], [-121.583333, 37.088404]]]",positive
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",negative
"[[[-74.421855, 45.430616], [-74.421855, 45.532585], [-74.211235, 45.532585], [-74.211235, 45.430616]]]",negative
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",neutral
"[[[-102.033765, 33.44712], [-102.033765, 33.693933], [-101.760581, 33.693933], [-101.760581, 33.44712]]]",negative
"[[[-81.086454, 34.869151], [-81.086454, 34.961986], [-80.943098, 34.961986], [-80.943098, 34.869151]]]",positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",neutral
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",neutral
"[[[53.994347, 16.941793], [53.994347, 17.801337], [55.42039, 17.801337], [55.42039, 16.941793]]]",negative
"[[[-77.144435, 38.789907], [-77.144435, 38.844853], [-77.037304, 38.844853], [-77.037304, 38.789907]]]",positive
"[[[-106.634874, 31.620668], [-106.634874, 31.966068], [-106.199987, 31.966068], [-106.199987, 31.620668]]]",negative
"[[[-122.035311, 37.193164], [-122.035311, 37.469154], [-121.71215, 37.469154], [-121.71215, 37.193164]]]",negative
"[[[-112.508916, 33.317555], [-112.508916, 33.50819], [-112.341035, 33.50819], [-112.341035, 33.317555]]]",neutral
"[[[-71.284469, 42.73759], [-71.284469, 42.852318], [-71.166666, 42.852318], [-71.166666, 42.73759]]]",positive
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
"[[[-77.519387, 38.270129], [-77.519387, 38.326001], [-77.447189, 38.326001], [-77.447189, 38.270129]]]",negative
"[[[-83.113623, 42.233905], [-83.113623, 42.356225], [-82.890548, 42.356225], [-82.890548, 42.233905]]]",negative
"[[[-94.498637, 38.768081], [-94.498637, 38.841718], [-94.42255, 38.841718], [-94.42255, 38.768081]]]",positive
"[[[-86.84954, 33.414818], [-86.84954, 33.488982], [-86.762633, 33.488982], [-86.762633, 33.414818]]]",neutral
"[[[-122.035311, 37.193164], [-122.035311, 37.469154], [-121.71215, 37.469154], [-121.71215, 37.193164]]]",negative
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",negative
"[[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]",neutral
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-91.51308, 36.970298], [-91.51308, 42.508303], [-87.019935, 42.508303], [-87.019935, 36.970298]]]",positive
"[[[-70.799736, 41.964227], [-70.799736, 42.023216], [-70.692437, 42.023216], [-70.692437, 41.964227]]]",positive
"[[[-84.706797, 38.917578], [-84.706797, 39.060938], [-84.606098, 39.060938], [-84.606098, 38.917578]]]",negative
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",neutral
"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",positive
"[[[-75.130194, 39.698642], [-75.130194, 39.804669], [-75.015244, 39.804669], [-75.015244, 39.698642]]]",positive
"[[[-117.86894, 33.606077], [-117.86894, 33.773387], [-117.695781, 33.773387], [-117.695781, 33.606077]]]",negative
"[[[-80.203991, 26.320692], [-80.203991, 26.427259], [-80.065981, 26.427259], [-80.065981, 26.320692]]]",negative
"[[[-84.635695, 38.842745], [-84.635695, 38.892219], [-84.601613, 38.892219], [-84.601613, 38.842745]]]",positive
"[[[-84.635695, 38.842745], [-84.635695, 38.892219], [-84.601613, 38.892219], [-84.601613, 38.842745]]]",positive
"[[[-74.164089, 40.717135], [-74.164089, 40.786287], [-74.076066, 40.786287], [-74.076066, 40.717135]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",negative
"[[[-81.877771, 41.392684], [-81.877771, 41.599195], [-81.533163, 41.599195], [-81.533163, 41.392684]]]",negative
"[[[-83.319904, 42.442178], [-83.319904, 42.517441], [-83.200644, 42.517441], [-83.200644, 42.442178]]]",negative
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",neutral
"[[[-72.968693, 41.327184], [-72.968693, 41.459756], [-72.87314, 41.459756], [-72.87314, 41.327184]]]",negative
"[[[-95.823268, 29.522325], [-95.823268, 30.154665], [-95.069705, 30.154665], [-95.069705, 29.522325]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",neutral
"[[[-71.092873, 41.882371], [-71.092873, 41.987979], [-70.991057, 41.987979], [-70.991057, 41.882371]]]",neutral
"[[[-73.933612, 40.785365], [-73.933612, 40.91533], [-73.765271, 40.91533], [-73.765271, 40.785365]]]",negative
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-97.168665, 32.822102], [-97.168665, 32.867764], [-97.099752, 32.867764], [-97.099752, 32.822102]]]",negative
"[[[-84.706797, 38.917578], [-84.706797, 39.060938], [-84.606098, 39.060938], [-84.606098, 38.917578]]]",negative
"[[[-124.848975, 45.543542], [-124.848975, 49.002502], [-116.915989, 49.002502], [-116.915989, 45.543542]]]",negative
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",negative
"[[[-123.738375, 49.001921], [-123.738375, 49.574551], [-122.406655, 49.574551], [-122.406655, 49.001921]]]",positive
"[[[-77.783092, 38.311991], [-77.783092, 38.362956], [-77.728319, 38.362956], [-77.728319, 38.311991]]]",neutral
"[[[-124.848975, 45.543542], [-124.848975, 49.002502], [-116.915989, 49.002502], [-116.915989, 45.543542]]]",negative
"[[[-0.173706, 50.80835], [-0.173706, 50.872314], [-0.087006, 50.872314], [-0.087006, 50.80835]]]",negative
"[[[-87.022482, 35.994568], [-87.022482, 36.405448], [-86.560616, 36.405448], [-86.560616, 35.994568]]]",neutral
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",neutral
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",positive
"[[[129.001337, -38.062603], [129.001337, -25.996146], [141.002956, -25.996146], [141.002956, -38.062603]]]",negative
"[[[-82.246926, 28.172468], [-82.246926, 28.291625], [-82.131803, 28.291625], [-82.131803, 28.172468]]]",negative
"[[[-76.22808, 36.672684], [-76.22808, 36.932399], [-75.911812, 36.932399], [-75.911812, 36.672684]]]",negative
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",negative
"[[[-89.57151, 36.497129], [-89.57151, 39.147359], [-81.964971, 39.147359], [-81.964971, 36.497129]]]",negative
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",neutral
"[[[-88.54, 43.068737], [-88.54, 43.14062], [-88.451607, 43.14062], [-88.451607, 43.068737]]]",neutral
"[[[-82.562328, 28.078692], [-82.562328, 28.128059], [-82.502314, 28.128059], [-82.502314, 28.078692]]]",positive
"[[[-83.200169, 39.832013], [-83.200169, 40.157354], [-82.771375, 40.157354], [-82.771375, 39.832013]]]",positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",negative
"[[[-122.212834, 47.430091], [-122.212834, 47.471158], [-122.108701, 47.471158], [-122.108701, 47.430091]]]",positive
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",negative
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",negative
"[[[-85.675049, 40.095032], [-85.675049, 40.095032], [-85.675049, 40.095032], [-85.675049, 40.095032]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",negative
"[[[-118.038166, 34.025798], [-118.038166, 34.055682], [-117.96443, 34.055682], [-117.96443, 34.025798]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",neutral
"[[[-84.986426, 34.889718], [-84.986426, 34.93869], [-84.933731, 34.93869], [-84.933731, 34.889718]]]",negative
"[[[-80.173447, 26.476484], [-80.173447, 26.590488], [-80.05236, 26.590488], [-80.05236, 26.476484]]]",positive
"[[[-91.51308, 36.970298], [-91.51308, 42.508303], [-87.019935, 42.508303], [-87.019935, 36.970298]]]",negative
"[[[-121.098011, 48.999419], [-121.098011, 49.91221], [-119.17567, 49.91221], [-119.17567, 48.999419]]]",negative
"[[[-98.778559, 29.141956], [-98.778559, 29.693046], [-98.302744, 29.693046], [-98.302744, 29.141956]]]",positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",negative
"[[[-1.848444, 53.917768], [-1.848444, 53.936338], [-1.791126, 53.936338], [-1.791126, 53.917768]]]",negative
"[[[-92.135057, 32.429655], [-92.135057, 32.612831], [-92.018346, 32.612831], [-92.018346, 32.429655]]]",neutral
"[[[-91.655009, 30.146096], [-91.655009, 34.995968], [-88.097889, 34.995968], [-88.097889, 30.146096]]]",positive
"[[[-82.069567, 26.531814], [-82.069567, 26.741146], [-81.904101, 26.741146], [-81.904101, 26.531814]]]",negative
"[[[-123.738375, 49.001921], [-123.738375, 49.574551], [-122.406655, 49.574551], [-122.406655, 49.001921]]]",neutral
"[[[-97.168665, 32.822102], [-97.168665, 32.867764], [-97.099752, 32.867764], [-97.099752, 32.822102]]]",negative
"[[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]]",positive
"[[[-84.706797, 38.917578], [-84.706797, 39.060938], [-84.606098, 39.060938], [-84.606098, 38.917578]]]",negative
"[[[-117.884864, 33.853755], [-117.884864, 33.91009], [-117.816285, 33.91009], [-117.816285, 33.853755]]]",negative
"[[[-118.117365, 33.723095], [-118.117365, 33.787561], [-118.041655, 33.787561], [-118.041655, 33.723095]]]",negative
"[[[-121.098011, 48.999419], [-121.098011, 49.91221], [-119.17567, 49.91221], [-119.17567, 48.999419]]]",negative
"[[[-82.562328, 28.078692], [-82.562328, 28.128059], [-82.502314, 28.128059], [-82.502314, 28.078692]]]",negative
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",positive
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",positive
"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",positive
"[[[-76.976222, 39.448205], [-76.976222, 39.5541], [-76.857558, 39.5541], [-76.857558, 39.448205]]]",positive
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",positive
"[[[-75.280284, 39.871811], [-75.280284, 40.13792], [-74.955712, 40.13792], [-74.955712, 39.871811]]]",negative
"[[[-80.177251, 26.785413], [-80.177251, 26.8962], [-80.065807, 26.8962], [-80.065807, 26.785413]]]",positive
"[[[-114.818269, 31.332246], [-114.818269, 37.004261], [-109.045153, 37.004261], [-109.045153, 31.332246]]]",positive
"[[[-122.1649, 47.626845], [-122.1649, 47.73078], [-121.958642, 47.73078], [-121.958642, 47.626845]]]",negative
"[[[-90.422363, 38.451192], [-90.422363, 38.547149], [-90.319711, 38.547149], [-90.319711, 38.451192]]]",neutral
"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]",negative
"[[[-109.060257, 36.992427], [-109.060257, 41.003445], [-102.041524, 41.003445], [-102.041524, 36.992427]]]",negative
"[[[-82.644739, 37.201483], [-82.644739, 40.638802], [-77.71893, 40.638802], [-77.71893, 37.201483]]]",negative
"[[[-103.002652, 33.615765], [-103.002652, 37.002328], [-94.431332, 37.002328], [-94.431332, 33.615765]]]",positive
"[[[-80.731463, 28.142537], [-80.731463, 28.408742], [-80.60386, 28.408742], [-80.60386, 28.142537]]]",positive
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",neutral
"[[[-77.266126, 38.755163], [-77.266126, 38.821463], [-77.202928, 38.821463], [-77.202928, 38.755163]]]",neutral
"[[[-76.976222, 39.448205], [-76.976222, 39.5541], [-76.857558, 39.5541], [-76.857558, 39.448205]]]",negative
"[[[-76.353876, 44.961937], [-76.353876, 45.535645], [-75.246407, 45.535645], [-75.246407, 44.961937]]]",positive
"[[[-95.809606, 38.971524], [-95.809606, 39.103634], [-95.571859, 39.103634], [-95.571859, 38.971524]]]",neutral
"[[[-80.297165, 25.627038], [-80.297165, 25.771859], [-80.245009, 25.771859], [-80.245009, 25.627038]]]",negative
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",negative
"[[[-114.818269, 31.332246], [-114.818269, 37.004261], [-109.045153, 37.004261], [-109.045153, 31.332246]]]",positive
"[[[-82.421473, 29.600496], [-82.421473, 29.745847], [-82.239066, 29.745847], [-82.239066, 29.600496]]]",negative
"[[[-98.778559, 29.141956], [-98.778559, 29.693046], [-98.302744, 29.693046], [-98.302744, 29.141956]]]",positive
"[[[-78.944895, 35.644384], [-78.944895, 35.867993], [-78.729147, 35.867993], [-78.729147, 35.644384]]]",neutral
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",positive
"[[[-66.125093, 18.29645], [-66.125093, 18.471881], [-65.991643, 18.471881], [-65.991643, 18.29645]]]",neutral
"[[[-71.191421, 42.227797], [-71.191421, 42.399542], [-70.986004, 42.399542], [-70.986004, 42.227797]]]",negative
"[[[-87.460551, 39.394564], [-87.460551, 39.520714], [-87.303557, 39.520714], [-87.303557, 39.394564]]]",positive
"[[[-82.562328, 28.078692], [-82.562328, 28.128059], [-82.502314, 28.128059], [-82.502314, 28.078692]]]",neutral
"[[[-112.62655, 33.355798], [-112.62655, 33.515442], [-112.461428, 33.515442], [-112.461428, 33.355798]]]",positive
"[[[-123.738375, 49.001921], [-123.738375, 49.574551], [-122.406655, 49.574551], [-122.406655, 49.001921]]]",negative
"[[[-95.809606, 38.971524], [-95.809606, 39.103634], [-95.571859, 39.103634], [-95.571859, 38.971524]]]",negative
"[[[-76.045233, 40.188329], [-76.045233, 40.215517], [-76.003039, 40.215517], [-76.003039, 40.188329]]]",neutral
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-73.02154, 40.904061], [-73.02154, 40.966649], [-72.956704, 40.966649], [-72.956704, 40.904061]]]",negative
"[[[-121.331355, 38.663673], [-121.331355, 38.722779], [-121.242804, 38.722779], [-121.242804, 38.663673]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-106.791691, 35.015891], [-106.791691, 35.218114], [-106.473745, 35.218114], [-106.473745, 35.015891]]]",negative
"[[[-78.944895, 35.644384], [-78.944895, 35.867993], [-78.729147, 35.867993], [-78.729147, 35.644384]]]",neutral
"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-100.277595, 25.694281], [-100.277595, 25.863077], [-100.05984, 25.863077], [-100.05984, 25.694281]]]",positive
"[[[-117.884864, 33.853755], [-117.884864, 33.91009], [-117.816285, 33.91009], [-117.816285, 33.853755]]]",negative
"[[[-106.634874, 31.620668], [-106.634874, 31.966068], [-106.199987, 31.966068], [-106.199987, 31.620668]]]",positive
"[[[-124.703541, 41.991795], [-124.703541, 46.299078], [-116.463262, 46.299078], [-116.463262, 41.991795]]]",neutral
"[[[-117.282538, 32.53962], [-117.282538, 33.080404], [-116.92744, 33.080404], [-116.92744, 32.53962]]]",negative
"[[[-122.959983, 49.175445], [-122.959983, 49.238058], [-122.875033, 49.238058], [-122.875033, 49.175445]]]",negative
"[[[-81.54525, 40.872987], [-81.54525, 40.997434], [-81.416329, 40.997434], [-81.416329, 40.872987]]]",negative
"[[[-106.10308, 35.586659], [-106.10308, 35.726444], [-105.895133, 35.726444], [-105.895133, 35.586659]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-74.383156, 40.318344], [-74.383156, 40.450778], [-74.246891, 40.450778], [-74.246891, 40.318344]]]",neutral
"[[[-123.224215, 49.19854], [-123.224215, 49.316738], [-123.022947, 49.316738], [-123.022947, 49.19854]]]",positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",positive
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",negative
"[[[-86.935419, 35.85036], [-86.935419, 36.019674], [-86.766934, 36.019674], [-86.766934, 35.85036]]]",negative
"[[[-106.791691, 35.015891], [-106.791691, 35.218114], [-106.473745, 35.218114], [-106.473745, 35.015891]]]",negative
"[[[-81.585882, 41.284245], [-81.585882, 41.350932], [-81.518664, 41.350932], [-81.518664, 41.284245]]]",negative
"[[[-71.160356, 42.352429], [-71.160356, 42.403966], [-71.064398, 42.403966], [-71.064398, 42.352429]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-98.778559, 29.141956], [-98.778559, 29.693046], [-98.302744, 29.693046], [-98.302744, 29.141956]]]",positive
"[[[-73.727776, 40.950918], [-73.727776, 42.050588], [-71.78699399999999, 42.050588], [-71.78699399999999, 40.950918]]]",neutral
"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",positive
"[[[-118.280798, 34.630945], [-118.280798, 34.740709], [-118.045755, 34.740709], [-118.045755, 34.630945]]]",neutral
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",positive
"[[[-79.007589, 35.866334], [-79.007589, 36.115631], [-78.783292, 36.115631], [-78.783292, 35.866334]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",negative
"[[[-86.348441, 39.631677], [-86.348441, 39.927448], [-85.937404, 39.927448], [-85.937404, 39.631677]]]",negative
"[[[-117.230172, 33.090761], [-117.230172, 33.186722], [-117.103461, 33.186722], [-117.103461, 33.090761]]]",neutral
"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",positive
"[[[-94.569269, 36.15253], [-94.569269, 36.214222], [-94.487657, 36.214222], [-94.487657, 36.15253]]]",positive
"[[[124.445405, 8.231283], [124.445405, 8.520874], [124.811596, 8.520874], [124.811596, 8.231283]]]",neutral
"[[[-118.398812, 33.97652], [-118.398812, 33.994312], [-118.378792, 33.994312], [-118.378792, 33.97652]]]",negative
"[[[-74.057043, 40.757384], [-74.057043, 40.823639], [-73.991972, 40.823639], [-73.991972, 40.757384]]]",positive
"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",positive
"[[[-87.940033, 41.644102], [-87.940033, 42.023067], [-87.523993, 42.023067], [-87.523993, 41.644102]]]",negative
"[[[-94.569269, 36.15253], [-94.569269, 36.214222], [-94.487657, 36.214222], [-94.487657, 36.15253]]]",neutral
"[[[-117.282538, 32.53962], [-117.282538, 33.080404], [-116.92744, 33.080404], [-116.92744, 32.53962]]]",neutral
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-84.321948, 33.752879], [-84.321948, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",neutral
"[[[-76.353876, 44.961937], [-76.353876, 45.535645], [-75.246407, 45.535645], [-75.246407, 44.961937]]]",positive
"[[[-80.248975, 25.986228], [-80.248975, 26.093132], [-80.107808, 26.093132], [-80.107808, 25.986228]]]",neutral
"[[[-122.069956, 37.454962], [-122.069956, 37.592327], [-121.889098, 37.592327], [-121.889098, 37.454962]]]",neutral
"[[[-76.204476, 42.984026], [-76.204476, 43.121188], [-76.053145, 43.121188], [-76.053145, 42.984026]]]",neutral
"[[[-106.645646, 25.837092], [-106.645646, 36.500695], [-93.508131, 36.500695], [-93.508131, 25.837092]]]",positive
"[[[-75.788756, 38.45104], [-75.788756, 39.839007], [-74.984165, 39.839007], [-74.984165, 38.45104]]]",neutral
"[[[-74.255641, 40.495865], [-74.255641, 40.91533], [-73.699793, 40.91533], [-73.699793, 40.495865]]]",positive
"[[[-80.173447, 26.476484], [-80.173447, 26.590488], [-80.05236, 26.590488], [-80.05236, 26.476484]]]",negative
"[[[-95.438435, 29.497739], [-95.438435, 29.59803], [-95.215364, 29.59803], [-95.215364, 29.497739]]]",negative
"[[[-84.561205, 33.788139], [-84.561205, 33.905391], [-84.470367, 33.905391], [-84.470367, 33.788139]]]",positive
