coordinates,sentiment
"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",positive
"[[[-111.050517, 31.784633], [-111.050517, 31.899734], [-110.961432, 31.899734], [-110.961432, 31.784633]]]",negative
"[[[-87.991251, 41.139487], [-87.991251, 41.206121], [-87.848915, 41.206121], [-87.848915, 41.139487]]]",positive
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",neutral
"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",negative
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",negative
"[[[-179.231086, 13.182335], [-179.231086, 71.434357], [179.859685, 71.434357], [179.859685, 13.182335]]]",negative
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",neutral
"[[[-74.25136, 40.679997], [-74.25136, 40.788991], [-74.118336, 40.788991], [-74.118336, 40.679997]]]",positive
"[[[-87.940033, 41.644102], [-87.940033, 42.023067], [-87.523993, 42.023067], [-87.523993, 41.644102]]]",negative
"[[[-75.4314, 40.578043], [-75.4314, 40.672508], [-75.302993, 40.672508], [-75.302993, 40.578043]]]",positive
"[[[-93.159887, 44.717092], [-93.159887, 44.775785], [-93.095493, 44.775785], [-93.095493, 44.717092]]]",negative
"[[[-78.818343, 35.715805], [-78.818343, 35.972158], [-78.497331, 35.972158], [-78.497331, 35.715805]]]",neutral
"[[[-80.363112, 26.119383], [-80.363112, 26.193854], [-80.226673, 26.193854], [-80.226673, 26.119383]]]",positive
"[[[-84.19397, 35.831436], [-84.19397, 36.133505], [-83.733713, 36.133505], [-83.733713, 35.831436]]]",neutral
"[[[-85.896673, 31.283873], [-85.896673, 31.386312], [-85.777968, 31.386312], [-85.777968, 31.283873]]]",neutral
"[[[-90.137908, 29.889574], [-90.137908, 30.075628], [-89.884108, 30.075628], [-89.884108, 29.889574]]]",positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",neutral
"[[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]",positive
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",negative
"[[[-77.119901, 38.791514], [-77.119901, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.791514]]]",positive
"[[[-123.208615, 43.988281], [-123.208615, 44.142961], [-123.036188, 44.142961], [-123.036188, 43.988281]]]",negative
"[[[-106.645646, 25.837092], [-106.645646, 36.500695], [-93.508131, 36.500695], [-93.508131, 25.837092]]]",negative
"[[[-93.056248, 45.033056], [-93.056248, 45.101902], [-92.980042, 45.101902], [-92.980042, 45.033056]]]",negative
"[[[-91.51308, 36.970298], [-91.51308, 42.508303], [-87.019935, 42.508303], [-87.019935, 36.970298]]]",positive
"[[[-98.435794, 40.873321], [-98.435794, 40.988846], [-98.26377600000001, 40.988846], [-98.26377600000001, 40.873321]]]",negative
"[[[-73.508143, 41.187054], [-73.508143, 42.886824], [-69.858861, 42.886824], [-69.858861, 41.187054]]]",positive
"[[[-79.922434, 32.766578], [-79.922434, 32.929315], [-79.75221, 32.929315], [-79.75221, 32.766578]]]",positive
"[[[-88.067992, 42.305548], [-88.067992, 42.388167], [-87.992956, 42.388167], [-87.992956, 42.305548]]]",negative
